str_no_string|NO STRING! 
str_attack_walls_continue|浴 血 的 战 斗 展 现 了 双 方 的 英 勇 。 尽 管 你 的 战 士 很 努 力 ， 城 堡 上 还 是 飘 着 敌 人 的 旗 子 。 
str_order_attack_success|你 的 士 兵 奋 勇 击 退 了 敌 人 。 
str_order_attack_failure|你 看 着 敌 人 砍 翻 了 你 最 后 一 个 战 士 。 
str_order_attack_continue|你 的 士 兵 与 敌 人 遭 遇 ， 却 无 法 将 他 们 击 退 。 
str_join_order_attack_success|你 的 士 兵 和 你 的 盟 军 合 力 打 败 了 敌 人 。 
str_join_order_attack_failure|你 看 着 敌 人 砍 翻 了 你 最 后 一 个 战 士 。 
str_join_order_attack_continue|你 的 士 兵 和 盟 友 一 起 与 敌 厮 杀 ， 却 无 法 将 他 们 杀 光 。 
str_siege_defender_order_attack_success|防 守 方 奋 勇 杀 敌 ， 击 败 了 敌 人 。 
str_siege_defender_order_attack_failure|你 绝 望 的 看 着 围 攻 的 敌 人 杀 死 了 最 后 的 一 个 抵 抗 者 。 
str_siege_defender_order_attack_continue|防 守 方 迎 击 敌 人 ， 但 最 终 还 是 败 下 阵 来 。 
str_hero_taken_prisoner|{s3}的 {s1}被 {s2}俘 虏 。 
str_hero_freed|{s3}的 {s1}被 {s2}成 功 解 救 。 
str_center_captured|{s2}从 {s3}那 里 夺 取 了 {s1}。 
str_troop_relation_increased|你 与 {s1}的 关 系 从 {reg1}提 升 到 {reg2}。 
str_troop_relation_detoriated|你 与 {s1}的 关 系 从 {reg1}恶 化 为 {reg2}。 
str_faction_relation_increased|你 与 {s1}的 关 系 从 {reg1}提 升 到 {reg2}。 
str_faction_relation_detoriated|你 与 {s1}的 关 系 从 {reg1}恶 化 为 {reg2}。 
str_party_gained_morale|部 队 的 士 气 加 {reg1}。 
str_party_lost_morale|部 队 的 士 气 减 {reg1}。 
str_other_party_gained_morale|{s1}获 得 {reg1}士 气 。 
str_other_party_lost_morale|{s1}失 去 {reg1}士 气 。 
str_qst_follow_spy_noticed_you|那 个 间 谍 觉 察 到 你 了 ， 他 准 备 开 溜 了 ！ 
str_father|父 亲 
str_husband|丈 夫 
str_wife|妻 子 
str_daughter|女 儿 
str_mother|母 亲 
str_son|儿 子 
str_brother|兄 弟 
str_sister|姐 妹 
str_he|他 
str_she|她 
str_s3s_s2|{s3}的 {s2}
str_s5_is_s51|{s5}是 {s51}。 
str_s5_is_the_ruler_of_s51|{s5}是 {s51}的 领 主 。 
str_s5_is_a_nobleman_of_s6|{s5}是 {s6}的 贵 族 。 
str_relation_mnus_100|势 同 水 火 的 
str_relation_mnus_90|势 同 水 火 的 
str_relation_mnus_80|势 同 水 火 的 
str_relation_mnus_70|充 满 敌 意 的 
str_relation_mnus_60|充 满 敌 意 的 
str_relation_mnus_50|狠 狠 地 盯 着 你 的 
str_relation_mnus_40|非 常 讨 厌 你 的 
str_relation_mnus_30|开 始 厌 恶 你 的 
str_relation_mnus_20|警 惕 地 看 着 你 的 
str_relation_mnus_10|意 味 深 长 地 看 着 你 的 
str_relation_plus_0|面 无 表 情 的 看 着 你 的 
str_relation_plus_10|开 始 接 受 你 的 
str_relation_plus_20|友 善 地 看 着 你 的 
str_relation_plus_30|亲 切 地 看 着 你 的 
str_relation_plus_40|热 切 地 望 着 你 的 
str_relation_plus_50|对 你 交 口 称 赞 的 
str_relation_plus_60|非 常 支 持 你 
str_relation_plus_70|非 常 尊 敬 你 
str_relation_plus_80|为 你 欢 呼 
str_relation_plus_90|对 你 忠 心 耿 耿 
str_relation_mnus_100_ns|{s60}与 你 势 同 水 火 。 
str_relation_mnus_90_ns|{s60}与 你 势 同 水 火 。 
str_relation_mnus_80_ns|{s60}与 你 势 同 水 火 。 
str_relation_mnus_70_ns|{s60}对 你 充 满 敌 意 。 
str_relation_mnus_60_ns|{s60}对 你 充 满 敌 意 。 
str_relation_mnus_50_ns|{s60}狠 狠 地 盯 着 你 。 
str_relation_mnus_40_ns|{s60}非 常 讨 厌 你 。 
str_relation_mnus_30_ns|{s60}开 始 厌 恶 你 。 
str_relation_mnus_20_ns|{s60}警 惕 地 看 着 你 。 
str_relation_mnus_10_ns|{s60}意 味 深 长 地 看 着 你 。 
str_relation_plus_0_ns|{s60}面 无 表 情 的 看 着 你 。 
str_relation_plus_10_ns|{s60}开 始 接 受 你 。 
str_relation_plus_20_ns|{s60}友 善 地 看 着 你 。 
str_relation_plus_30_ns|{s60}亲 切 地 看 着 你 。 
str_relation_plus_40_ns|{s60}热 切 地 望 着 你 。 
str_relation_plus_50_ns|{s60}友 好 地 望 着 你 。 
str_relation_plus_60_ns|{s60}非 常 支 持 你 。 
str_relation_plus_70_ns|{s60}非 常 尊 敬 你 。 
str_relation_plus_80_ns|{s60}为 你 欢 呼 。 
str_relation_plus_90_ns|{s60}对 你 忠 心 耿 耿 。 
str_relation_reg1|关 系 ： {reg1}
str_center_relation_mnus_100|当 地 居 民 与 你 势 同 水 火 
str_center_relation_mnus_90|当 地 居 民 对 你 恨 之 入 骨 
str_center_relation_mnus_80|当 地 居 民 对 你 怒 视 
str_center_relation_mnus_70|当 地 居 民 对 你 充 满 敌 意 
str_center_relation_mnus_60|当 地 居 民 非 常 憎 恨 你 
str_center_relation_mnus_50|当 地 居 民 狠 狠 地 盯 着 你 
str_center_relation_mnus_40|当 地 居 民 非 常 讨 厌 你 
str_center_relation_mnus_30|当 地 居 民 开 始 厌 恶 你 
str_center_relation_mnus_20|当 地 居 民 警 惕 地 看 着 你 
str_center_relation_mnus_10|当 地 居 民 意 味 深 长 地 看 着 你 
str_center_relation_plus_0|当 地 居 民 面 无 表 情 的 看 着 你 
str_center_relation_plus_10|当 地 居 民 开 始 接 受 你 
str_center_relation_plus_20|当 地 居 民 友 善 地 看 着 你 
str_center_relation_plus_30|当 地 居 民 亲 切 地 看 着 你 
str_center_relation_plus_40|当 地 居 民 热 切 地 望 着 你 
str_center_relation_plus_50|当 地 居 民 对 你 交 口 称 赞 
str_center_relation_plus_60|当 地 居 民 非 常 支 持 你 
str_center_relation_plus_70|当 地 居 民 非 常 尊 敬 你 
str_center_relation_plus_80|当 地 居 民 为 你 欢 呼 
str_center_relation_plus_90|当 地 居 民 对 你 忠 心 耿 耿 
str_town_prosperity_0|{s60}镇 的 贫 穷 到 了 不 可 忍 受 的 地 步 。 
str_town_prosperity_10|{s60}镇 看 起 来 肮 脏 破 败 到 几 乎 被 遗 弃 了 。 
str_town_prosperity_20|{s60}镇 看 起 来 十 分 凄 凉 且 荒 芜 。 
str_town_prosperity_30|{s60}镇 看 起 来 穷 的 有 些 不 起 眼 。 
str_town_prosperity_40|{s60}镇 看 起 来 仍 在 艰 难 求 存 。 
str_town_prosperity_50|{s60}镇 看 起 来 平 平 无 奇 。 
str_town_prosperity_60|{s60}镇 似 乎 正 向 繁 荣 发 展 。 
str_town_prosperity_70|{s60}镇 充 满 了 繁 荣 的 活 力 。 
str_town_prosperity_80|{s60}镇 看 起 来 富 足 且 气 派 。 
str_town_prosperity_90|{s60}镇 看 起 来 富 丽 堂 皇 ， 百 姓 腰 缠 万 贯 。 
str_town_prosperity_100|{s60}镇 毫 不 掩 饰 地 炫 耀 着 其 富 可 敌 国 般 的 财 富 。 
str_village_prosperity_0|{s60}村 的 贫 穷 到 了 不 可 忍 受 的 地 步 。 
str_village_prosperity_10|{s60}村 看 起 来 肮 脏 破 败 到 几 乎 被 遗 弃 了 。 
str_village_prosperity_20|{s60}村 看 起 来 十 分 凄 凉 且 荒 芜 。 
str_village_prosperity_30|{s60}村 看 起 来 穷 的 有 些 不 起 眼 。 
str_village_prosperity_40|{s60}村 镇 看 起 来 仍 在 艰 难 求 存 。 
str_village_prosperity_50|{s60}村 看 起 来 平 平 无 奇 。 
str_village_prosperity_60|{s60}村 似 乎 正 向 繁 荣 发 展 。 
str_village_prosperity_70|{s60}村 充 满 了 繁 荣 的 活 力 。 
str_village_prosperity_80|{s60}村 看 起 来 富 足 且 维 护 周 到 。 
str_village_prosperity_90|{s60}村 看 起 来 非 常 富 裕 繁 荣 。 
str_village_prosperity_100|{s60}村 被 广 袤 肥 沃 的 田 野 环 绕 ，显 得 极 为 富 饶 。 
str_town_alt_prosperity_0|市 集 上 仅 有 的 几 件 商 品 标 价 却 高 得 居 民 根 本 无 力 购 买 。 这 些 人 营 养 不 良 ， 牲 口 也 病 歪 歪 的 要 死 不 活 了 ， 他 们 的 工 具 也 破 旧 不 堪 。 那 些 穷 街 陋 巷 到 处 是 苍 蝇 和 癞 皮 狗 ， 早 已 无 人 问 津 。 
str_town_alt_prosperity_20|市 集 里 传 来 人 们 对 日 用 品 价 格 的 抱 怨 ， 半 数 东 西 都 缺 货 。 无 论 是 人 还 是 牲 畜 ， 都 显 出 营 养 不 良 的 迹 象 ， 建 筑 和 工 具 也 需 要 维 修 。 许 多 人 可 能 已 经 迁 徙 到 别 处 谋 生 了 。 
str_town_alt_prosperity_40|市 集 里 偶 尔 传 来 对 日 用 品 价 格 的 抱 怨 ， 但 商 品 供 应 尚 算 充 足 。 偶 尔 可 见 废 弃 的 建 筑 、 商 店 或 推 车 ， 但 总 体 而 言 并 无 太 多 异 样 。 
str_town_alt_prosperity_60|人 们 面 带 丰 食 之 色 、 营 养 良 好 ， 对 生 活 相 对 满 足 。 工 匠 们 的 生 意 红 火 ， 不 少 移 民 从 别 处 前 来 此 地 寻 求 机 遇 。 
str_town_alt_prosperity_80|城 墙 ， 街 道 ， 和 住 宅 都 保 养 的 很 好 。 市 场 里 聚 满 了 被 这 里 的 商 品 和 工 作 吸 引 的 附 近 地 区 的 移 民 。 锤 打 声 和 织 布 机 声 此 起 彼 伏 ， 诉 说 着 工 匠 铺 里 生 意 的 热 火 朝 天 。 
str_village_alt_prosperity_0|只 有 一 部 分 人 能 有 力 气 下 地 干 活 ， 许 多 田 地 已 杂 草 丛 生 。 剩 下 的 人 要 么 面 黄 肌 瘦 ，要 么 已 经 背 井 离 乡 了 。 牲 口 们 早 已 饿 死 或 被 吃 掉 ， 只 有 几 具 尸 骨 仍 躺 在 村 外 ， 被 野 兽 们 互 相 啃 食 。 
str_village_alt_prosperity_20|有 一 些 人 和 牲 口 在 地 里 干 活 ， 但 是 他 们 数 量 有 限 ， 这 使 得 一 部 分 村 民 不 得 不 背 井 离 乡 ， 另 谋 生 路 。 农 具 大 都 残 破 不 堪 。 一 部 分 边 缘 的 田 地 看 上 去 就 要 被 灌 木 和 杂 草 重 新 占 领 了 。 
str_village_alt_prosperity_40|田 地 和 果 园 里 都 是 一 片 繁 忙 的 景 象 ， 村 民 们 都 按 着 时 节 忙 碌 手 头 的 活 计 。 不 管 是 人 还 是 牲 口 ， 看 上 去 都 健 康 强 壮 。 外 围 少 数 田 地 尚 未 播 种 ， 部 分 墙 体 失 修 ， 显 示 着 这 的 人 手 还 不 够 完 成 所 有 工 作 。 
str_village_alt_prosperity_60|田 地 和 果 园 里 都 充 满 了 活 力 ， 满 袋 的 谷 物 和 风 干 肉 见 证 着 村 庄 耕 地 和 牧 场 的 丰 产 。 
str_village_alt_prosperity_80|田 地 和 果 园 里 生 机 勃 勃 ， 新 挖 的 灌 溉 沟 渠 表 明 农 民 有 足 够 的 闲 暇 和 体 力 扩 耕 。 季 节 工 似 乎 正 纷 纷 涌 来 ， 助 力 劳 作 并 共 享 繁 荣 。 
str_oasis_village_alt_prosperity_0|椰 枣 林 几 乎 被 遗 弃 ， 灌 溉 渠 道 淤 积 着 泥 沙 。 偶 见 的 村 民 面 带 饥 色 、 神 态 焦 躁 。 役 用 动 物 早 已 饿 死 或 被 吃 掉 ， 只 有 几 具 尸 骨 躺 在 村 边 ， 被 沙 漠 里 的 胡 狼 啃 咬 。 
str_oasis_village_alt_prosperity_20|很 少 看 见 村 民 照 料 椰 枣 林 ， 在 某 些 地 方 ， 沙 丘 正 侵 蚀 着 园 子 。 许 多 渠 道 淤 积 ， 井 穴 和 水 池 堵 满 沙 子。 
str_oasis_village_alt_prosperity_40|人 们 都 在 忙 着 照 料 那 片 椰 枣 林 ， 爬 上 树 顶 为 果 实 授 粉 。 健 壮 的 牲 畜 拉 动 水 泵 和 水 车 ， 为 田 地 送 水 。 不 过 ， 有 些 水 渠 和 储 水 池 需 要 一 些 维 护 了 。 
str_oasis_village_alt_prosperity_60|椰 枣 林 和 果 园 里 都 充 满 了 活 力 。 农 民 们 在 树 顶 上 快 乐 的 互 相 呼 唤 ， 为 椰 枣 授 粉 。 木 质 唧 筒 的 吱 嘎 声 ， 牲 口 的 叫 声 ， 和 流 水 的 奔 腾 声 ， 诉 说 着 灌 溉 系 统 在 村 民 的 呵 护 下 焕 发 生 机 。 
str_oasis_village_alt_prosperity_80|椰 枣 林 里 生 机 勃 勃 ， 农 民 们 正 装 运 大 批 椰 枣 准 备 卖 往 市 场 。 男 女 村 民 辛 勤 劳 作 ， 挖 掘 新 的 井 穴 和 渠 道 ， 以 将 更 多 土 地 纳 入 灌 溉 范 围 。 
str_acres_grain|成 片 的 耕 地 
str_acres_orchard|成 片 的 果 园 和 葡 萄 园 
str_acres_oasis|大 片 灌 溉 良 好 的 田 地 
str_looms|织 布 机 
str_boats|小 船 
str_head_cattle|牛 头 
str_head_sheep|羊 头 
str_mills|磨 房 
str_kilns|烧 窑 
str_pans|平 底 锅 
str_deposits|押 金 
str_hives|蜂 房 
str_breweries|酿 酒 厂 
str_presses|印 刷 机 
str_smithies|铁 匠 铺 
str_caravans|陆 地 商 队 
str_traps|行 李 
str_gardens|小 花 园 
str_tanneries|制 革 桶 
str_master_miller|高 级 磨 坊 工 
str_master_brewer|高 级 酿 酒 工 
str_master_presser|高 级 熨 衣 工 
str_master_smith|高 级 铁 匠 
str_master_tanner|高 级 皮 革 匠 
str_master_weaver|高 级 织 工 
str_master_dyer|高 级 染 匠 
str_war_report_minus_4|我 们 几 乎 要 输 掉 这 场 战 争 了 
str_war_report_minus_3|现 在 的 形 势 看 起 来 有 些 严 峻 
str_war_report_minus_2|战 事 进 展 得 不 太 顺 利 
str_war_report_minus_1|如 果 我 们 能 振 作 起 来 ， 我 们 还 是 可 以 赢 得 这 场 战 争 的 
str_war_report_0|我 们 与 敌 人 势 均 力 敌 
str_war_report_plus_1|我 们 有 一 定 机 会 赢 得 这 场 战 争 
str_war_report_plus_2|战 事 进 展 得 非 常 顺 利 
str_war_report_plus_3|打 败 他 们 完 全 不 成 问 题 
str_war_report_plus_4|我 们 几 乎 要 赢 得 这 场 战 争 了 
str_persuasion_summary_very_bad|你 尽 最 大 努 力 去 说 服 {s50}, 但 是 你 没 有 一 个 论 证 是 正 确 的 。 每 当 你 刚 刚 开 始 讲 得 通 顺 ， 就 会 马 上 说 出 一 些 完 全 错 误 的 话 ， 让 话 题 偏 离 轨 道 ， 以 至 于 使 你 自 己 的 思 路 都 断 了 。 等 你 讲 完 时 ， 发 现 自 己 竟 然 连 一 个 有 力 的 观 点 都 没 有 讲 出 来 ， 反 而 给 自 己 挖 的 坑 越 挖 越 深 。 毫 不 奇 怪 ， {s50}完 全 不 为 你 动 。 
str_persuasion_summary_bad|你 试 着 说 服 {s50}, 但 是 {reg51?她 :他 }从 最 开 始 起 就 提 防 着 你 。 就 连 你 自 认 为 最 有 力 的 论 点 ， 在 自 己 耳 中 都 显 得 空 洞 无 力 。 {s50}同 样 也 没 能 从 你 说 的 东 西 看 出 什 么 高 见 。 
str_persuasion_summary_average|{s50}原 来 是 个 思 维 敏 捷 、 能 言 善 辩 的 人 ， 你 基 本 就 没 有 办 法 使 {reg51?她 :他 }反 过 来 接 受 你 的 任 何 观 点 。 最 终 ， 在 这 场 辩 论 中 ， 你 们 两 人 都 没 能 使 对 方 偏 向 各 自 的 立 场 。 
str_persuasion_summary_good|凭 借 敏 捷 的 思 维 和 流 畅 的 辩 论 ， 你 设 法 把 你 的 观 点 论 证 得 很 好 ， 迫 使 {s50}认 同 你 的 一 些 观 点 。 然 而 {reg51?她 :他 }对 你 的 请 求 仍 然 存 有 疑 虑 。 
str_persuasion_summary_very_good|你 发 表 了 一 篇 充 满 激 情 的 演 讲 ， 言 辞 如 诗 歌 般 在 每 个 倾 听 者 的 耳 中 回 响 。 整 个 世 界 似 乎 都 安 静 下 来 以 便 更 清 楚 地 聆 听 。 这 些 激 励 人 心 的 话 语 把 {s50}深 深 打 动 了 ， {reg51?她 :他 }看 起 来 非 常 乐 意 帮 助 你 。 
str_secret_sign_1|大 衣 柜 在 子 夜 跳 舞 … … 
str_secret_sign_2|我 正 在 卖 库 吉 特 挂 毯 。 你 想 买 几 条 吗 ？ 
str_secret_sign_3|一 位 朋 友 的 朋 友 派 我 前 来 … … 
str_secret_sign_4|东 风 劲 吹 ， 河 水 泛 红 … … 
str_countersign_1|但 他 是 为 梳 妆 台 还 是 蜡 烛 台 跳 舞 呢 ？ 
str_countersign_2|是 的 ， 我 想 买 一 条 ， 你 有 蓝 色 的 吗 ？ 
str_countersign_3|但 我 的 朋 友 ， 你 朋 友 的 朋 友 永 远 不 会 有 像 我 这 样 的 朋 友 。 
str_countersign_4|你 是 不 是 有 病 了 ？ 
str_name_1|沃 巴 得 
str_name_2|依 斯 卡 尔 
str_name_3|西 格 马 
str_name_4|泰 尔 斯 科 
str_name_5|里 特 曼 德 
str_name_6|艾 尔 斯 
str_name_7|劳 尔 克 
str_name_8|布 莱 格 马 斯 
str_name_9|塔 尔 
str_name_10|莱 明 
str_name_11|叙 尔 科 
str_name_12|普 它 
str_name_13|塔 玛 斯 
str_name_14|里 查 德 
str_name_15|沃 奇 斯 
str_name_16|鲁 尔 克 
str_name_17|马 伦 德 
str_name_18|奥 格 伦 
str_name_19|代 纳 德 
str_name_20|卓 亚 
str_name_21|莱 玛 
str_name_22|卡 尔 达 朗 
str_name_23|帕 瑞 斯 
str_name_24|昆 均 
str_name_25|帕 奇 拉 克 
str_surname_1|乌 克 斯 豪 尔 的 {s50}
str_surname_2|沃 尔 切 格 的 {s50}
str_surname_3|瑞 瓦 丁 的 {s50}
str_surname_4|苏 诺 的 {s50}
str_surname_5|杰 尔 喀 拉 的 {s50}
str_surname_6|维 鲁 卡 的 {s50}
str_surname_7|哈 尔 玛 的 {s50}
str_surname_8|库 劳 的 {s50}
str_surname_9|萨 哥 斯 的 {s50}
str_surname_10|提 尔 的 {s50}
str_surname_11|禅 达 的 {s50}
str_surname_12|里 瓦 切 格 的 {s50}
str_surname_13|沃 尔 切 格 的 {s50}
str_surname_14|埃 勒 达 的 {s50}
str_surname_15|亚 拉 加 尔 的 {s50}
str_surname_16|伯 格 伦 的 {s50}
str_surname_17|沙 佩 什 特 的 {s50}
str_surname_18|哈 茵 的 {s50}
str_surname_19|塞 伦 的 {s50}
str_surname_20|托 斯 德 尔 的 {s50}
str_surname_21|高 个 的 {s50}
str_surname_22|瘦 弱 的 {s50}
str_surname_23|苗 条 的 {s50}
str_surname_24|精 瘦 的 {s50}
str_surname_25|贫 穷 的 {s50}
str_surname_26|丑 陋 的 {s50}
str_surname_27|诚 实 的 {s50}
str_surname_28|可 怕 的 {s50}
str_surname_29|激 进 的 {s50}
str_surname_30|阴 险 的 {s50}
str_surname_31|矮 个 的 {s50}
str_surname_32|单 纯 的 {s50}
str_surname_33|无 畏 的 {s50}
str_surname_34|勇 敢 的 {s50}
str_surname_35|小 心 的 {s50}
str_surname_36|胆 小 的 {s50}
str_surname_37|机 警 的 {s50}
str_surname_38|性 急 的 {s50}
str_surname_39|机 智 的 {s50}
str_surname_40|冒 失 的 {s50}
str_surname_41|冲 动 的 {s50}
str_surnames_end|surnames end 
str_number_of_troops_killed_reg1|杀 敌 数 ： {reg1}
str_number_of_troops_wounded_reg1|伤 敌 数 ： {reg1}
str_number_of_own_troops_killed_reg1|我 方 阵 亡 ： {reg1}
str_number_of_own_troops_wounded_reg1|我 方 受 伤 ： {reg1}
str_retreat|撤 退 ！ 
str_siege_continues|继 续 战 斗 … … 
str_casualty_display|我 方 伤 亡 ： {s10}^ 敌 方 伤 亡 ： {s11}^{s12}
str_casualty_display_hp|你 受 到 {reg1}点 伤 害 。 
str_quest_log_updated|任 务 日 志 更 新 … … 
str_banner_selection_text|你 被 授 予 携 带 旗 帜 的 权 利 。 旗 帜 是 身 份 与 荣 耀 的 象 征 。 你 想 选 择 哪 种 旗 帜 ？ 
str_retirement_text_1|当 你 意 识 到 你 将 入 不 敷 出 的 时 候 已 经 晚 了 。 短 短 时 日 ， 你 便 将 微 薄 的 积 蓄 挥 霍 一 空 ， 几 次 绝 望 重 启 冒 险 均 以 失 败 告 终 。 最 后 你 在 {s9}城 里 当 了 个 乞 丐 ， 靠 接 济 和 教 堂 的 施 舍 过 活 。 
str_retirement_text_2|当 你 意 识 到 你 将 入 不 敷 出 的 时 候 已 经 晚 了 。 短 短 时 日 ， 你 便 将 微 薄 的 积 蓄 挥 霍 一 空 。 当 最 后 一 枚 第 纳 尔 在 手 中 消 失 ， 你 迫 于 无 奈 在 {s9}城 的 后 街 小 巷 里 的 落 草 为 寇 ， 凭 借 那 点 能 耐 从 妇 女 和 贫 苦 市 民 手 中 抢 夺 铜 板 谋 生。 
str_retirement_text_3|当 你 意 识 到 你 将 入 不 敷 出 的 时 候 已 经 晚 了 。 短 短 时 日 ， 你 便 将 微 薄 的 积 蓄 挥 霍 一 空 。 你 流 连 于 各 家 酒 馆 ， 向 宽 容 的 顾 客 编 造 无 人 信 服 的 战 斗 故 事 ， 骗 取 几 杯 劣 酒 填 肚 。 
str_retirement_text_4|你 存 下 来 的 钱 并 不 能 维 持 多 久 ， 但 是 你 想 办 法 凑 了 足 够 的 钱 在 {s7}村 庄 的 附 近 买 了 一 小 片 地 。 当 上 了 自 由 农 。 很 快 你 就 吸 引 了 未 来 的 {妻 子 /丈 夫 }。 现 在 你 就 成 了 当 地 的 英 雄 。 宴 会 上 你 总 有 一 席 之 地 ， 酒 馆 里 人 们 不 断 传 颂 你 的 英 勇 事 迹 ， 让 孩 子 们 永 远 铭 记 于 心 。 
str_retirement_text_5|你 存 下 来 的 钱 并 不 能 维 持 多 久 ， 不 过 还 是 够 用 来 在 {s9}城 买 个 小 酒 馆 。 尽 管 当 地 人 一 开 始 对 你 有 所 提 防 ， 他 们 很 快 就 接 受 容 纳 了 你 。 随 着 酒 馆 日 渐 兴 旺 ， 这 里 成 了 闻 名 遐 迩 的 宴 会 厅 和 聚 会 场 所 。 人 们 慕 名 从 远 方 而 来 ， 为 了 品 尝 美 食 、 听 你 讲 述 当 年 的 冒 险 传 奇 。 
str_retirement_text_6|冒 险 生 涯 中 你 一 直 精 明 理 财 ， 现 在 积 蓄 与 智 慧 让 你 做 出 了 优 质 投 资 ， 巩 固 了 未 来 生 活 。 在 {s9}购 得 几 间 商 店 和 仓 库 后 ， 你 的 商 业 头 脑 使 你 成 为 城 中 显 赫 商 人 之 一 。 不 久 ， 你 便 以 富 有 的 {男 人 / 女 人}身 份 闻 名 ， 既 因 商 业 帝 国 ， 亦 因 当 年 的 战 场 传 奇 。 
