qstr_Next_Page|下 一 页 
qstr_Go_back_to_the_adven|继 续 冒 险 。 
qstr_You_have_retired_at_|你 在 经 过 {reg5}天 的 冒 险 到 达 {reg4}级 的 时 候 决 定 退 役 了 。 
qstr_Effect_on_Score|得 分 影 响 
qstr_Settlements_owned_by|你 的 领 地 数 ： {reg0}
qstr_Friendly_Settlements|友 军 领 地 数 ： {reg0}
qstr_Hostile_Settlements:|敌 军 领 地 数 ： {reg0}
qstr_Friendly_Lords:_{reg|友 军 领 主 ： {reg0}
qstr_Enemy_Lords:_{reg0}|敌 军 领 主 ： {reg0}
qstr_Victories:_{reg0}|胜 利 ： {reg0}
qstr_Defeats:_{reg0}|失 败 ： {reg0}
qstr_Quests_Completed:_{r|任 务 完 成 ： {reg0}
qstr_Companions_Found:_{r|同 伴 加 入 人 数 ： {reg0}
qstr_Companions_Lost/Depa|同 伴 失 散 人 数 ： {reg0}
qstr_Wealth:_{reg0}_denar|财 富 ： {reg0}第 纳 尔 
qstr_Inventory:_{reg0}_de|物 品 栏 中 的 财 富 ： {reg0}第 纳 尔 
qstr_Renown:_{reg0}|声 望 ： {reg0}
qstr_Experience:_{reg0}|经 验 ： {reg0}
qstr_Days_Passed:_{reg0}|天 数 ： {reg0}
qstr_Difficulty:_{reg0}%|难 度 ： {reg0}% 
qstr_TOTAL_SCORE:_{reg0}|总 分 数 ： {reg0}
qstr_None|无 
qstr_Equip_Companions|管 理 同 伴 装 备 
qstr_Upgrade_for_All|自 动 升 级 装 备 
qstr_Tips|提 示 
qstr_Done|完 成 
qstr_Sort|自 动 整 理 
qstr_Your_Inventory|你 的 物 品 
qstr_Head_Armor:_{reg0}|头 部 护 甲 ： {reg0}
qstr_Body_Armor:_{reg0}|身 体 护 甲 ： {reg0}
qstr_{s2}^^{s1}|{s2}^^{s1}{***}
qstr_Leg_Armor:_{reg0}|腿 部 护 甲 ： {reg0}
qstr_Arms_1|第 1套 武 器 
qstr_Arms_2|第 2套 武 器 
qstr_Outfit|服 装 
qstr_Horse|马 匹 
qstr_Troop_can_t_use_this|当 前 兵 种 不 能 使 用 此 物 品 。 
qstr_Left_Mouse___drag:_e|左 键 拖 拽 ： 手 动 装 备 物 品 ^右 键 点 击 ： 放 回 已 选 物 品 ， 自 动 装 备 物 品 ， 或 卸 下 物 品 ^^前 进 键 ： 切 换 到 上 一 个 英 雄 ^后 退 键 ： 切 换 到 下 一 个 英 雄 ^左 移 键 ： 切 换 到 第 一 个 英 雄 ^右 移 键 ： 切 换 到 最 后 一 个 英 雄 ^动 作 键 ： 切 换 到 另 一 套 武 器 ^^锁 定 的 物 品 不 会 被 自 动 升 级 ， 整 理 ， 或 出 售 ^^当 完 成 时 ， 所 有 英 雄 会 自 动 切 换 至 不 空 的 武 器 套 装 
qstr_Melee_Weapons|近 战 武 器 
qstr_Range_Weapons|远 程 武 器 
qstr_Armors|盔 甲 
qstr_Others|其 他 
qstr_Only_show_merchandis|只 看 商 品 
qstr_Show_all_modifiers|显 示 所 有 前 缀 
qstr_Back|返 回 
qstr_Preview:_|预 览 ： 
qstr_CHEAT:_Get_it!|作 弊 ： 得 到 它 ！ 
qstr_Previous|上 一 个 
qstr_Next|下 一 个 
qstr_Troop_ID:|兵 种 ID： 
qstr_Heroes|英 雄 
qstr_Soldiers|士 兵 
qstr_Class_of_troop|兵 种 分 组 
qstr_CHEAT:_Recruit:|作 弊 ： 招 募 ： 
qstr_CHEAT:_Set_relation:|作 弊 ： 设 置 关 系 ： 
qstr_Relation_with_you:_{|与 你 的 关 系 ： {reg0}
qstr_Level:_{reg0}|等 级 ： {reg0}
qstr_{s2}^{s1}|{s2}^{s1}
qstr_Upgrade_xp:_{reg0}|升 级 经 验 ： {reg0}
qstr_Upgrade_cost:_{reg0}|升 级 费 用 ： {reg0}
qstr_HP:_{reg0}|生 命 ： {reg0}
qstr_Attributes|属 性 
qstr_{s1}:_{reg0}|{s1}： {reg0}
qstr_Skills|技 能 
qstr_Proficiencies|熟 练 度 
qstr_Equipments|装 备 
qstr_CHEAT!_You_get_{reg0|作 弊 ！ 你 获 得 了 {reg0}个 {s1}。 
qstr_Outlaws|不 法 之 徒 
qstr_Mercenary|雇 佣 兵 
qstr_Click_the_center_but|点 击 中 间 的 按 钮 以 切 换 阵 营 ^点 击 兵 种 图 标 查 看 详 细 信 息 
qstr_Click_the_avatars_to|点 击 兵 种 图 标 查 看 详 细 信 息 
qstr_Sell_equipments|出 售 装 备 
qstr_Sell_goods|出 售 货 物 
qstr_Sell_all_goods|卖 出 所 有 货 物 
qstr_Don_t_sell_foods|不 卖 食 物 
qstr_Only_sell_foods|只 卖 食 物 
qstr_Buy_goods|购 买 货 物 
qstr_Buy_all_goods|买 入 所 有 货 物 
qstr_Don_t_buy_foods|不 买 食 物 
qstr_Only_buy_foods|只 买 食 物 
qstr_Auto_trade_settings_|装 备 自 动 交 易 设 置 
qstr_^Sell_equipments:_Eq|^出 售 装 备 ： 你 物 品 栏 里 满 足 下 列 条 件 的 装 备 将 被 自 动 出 售 。 
qstr_Price_limit_for_auto|自 动 出 售 的 价 格 上 限 ： 
qstr_Item_types_for_auto_|自 动 出 售 的 物 品 类 型 ： 
qstr_Select_all|全 选 
qstr_Select_invert|反 选 
qstr_Auto_sell_equipments|离 开 时 自 动 出 售 装 备 。 
qstr_Auto_trade_settings_f|货 物 自 动 交 易 设 置 
qstr_^Sell_goods:_Goods_w|^出 售 货 物 ： 你 物 品 栏 里 满 数 量 的 货 物 若 满 足 自 动 出 售 条 件 ， 则 将 被 自 动 出 售 。 腐 烂 的 食 物 总 会 被 自 动 出 售 并 抛 弃 。 ^^购 买 货 物 ： 商 人 的 满 数 量 的 货 物 若 满 足 自 动 购 买 条 件 ， 则 将 被 自 动 购 买 。 ^^物 品 上 方 数 字 ： 该 物 品 自 动 出 售 价 格 的 下 限 。 设 置 为 0 时 不 会 自 动 出 售 该 物 品 。 ^^物 品 下 方 数 字 ： 该 物 品 自 动 购 买 价 格 的 上 限 。 设 置 为 0 时 不 会 自 动 购 买 该 物 品 。 
qstr_Auto_sell_goods_when|离 开 时 自 动 出 售 货 物 。 
qstr_Auto_buy_goods_when_|离 开 时 自 动 购 买 货 物 。 
qstr_Relation_with_the_fa|你 与 各 阵 营 的 关 系 
qstr_Click_the_totems_to_|点 击 图 腾 查 看 与 该 国 领 主 的 关 系 
qstr_Loyal|忠 诚 的 
qstr_Devoted|忠 实 的 
qstr_Fond|喜 欢 的 
qstr_Gracious|亲 切 的 
qstr_Friendly|友 好 的 
qstr_Supportive|支 援 的 
qstr_Favorable|赞 同 的 
qstr_Cooperative|合 作 的 
qstr_Accepting|信 任 的 
qstr_Indifferent|冷 淡 的 
qstr_Suspicious|猜 疑 的 
qstr_Grumbling|抱 怨 的 
qstr_Hostile|敌 对 的 
qstr_Resentful|怨 恨 的 
qstr_Angry|发 怒 的 
qstr_Hateful|憎 恨 的 
qstr_Revengeful|报 复 的 
qstr_Vengeful|复 仇 的 
qstr_{s1}^^{reg0}__{s3}_|{s1}^^{reg0} ({s3}){***}
qstr_Relation_with_the_lo|你 与 {s1}各 领 主 的 关 系 
qstr_{s1}|{s1}{***}
qstr_{reg0}|{reg0}{***}
qstr_Sort_Garrison|整 理 驻 军 
qstr_Sort_Prisoners|整 理 俘 虏 
qstr_By_Faction|按 阵 营 排 列 
qstr_By_Level|按 等 级 排 列 
qstr_By_Class|按 分 组 排 列 
qstr_Decending|由 高 到 底 
qstr_Ascending|由 底 到 高 
qstr_Order_of_Factions:|阵 营 顺 序 ： 
qstr_Move_Up|上 移 
qstr_Move_Down|下 移 
qstr_Order_of_Classes:|分 组 顺 序 ： 
qstr_Set_Mod_Keys:|设 置 MOD按 键 ： 
qstr_Press_a_key|按 一 个 键 
qstr_Battle_Map:|战 场 地 图 ： 
qstr_Manage_Inventory:|整 理 物 品 ： 
qstr_Game_Options:|游 戏 选 项 ： 
qstr_Auto_take_captured_e|自 动 收 下 抓 到 的 敌 人 ： 
qstr_Cheat_Options:|作 弊 选 项 ： 
qstr_Disable_NPCs__compla|禁 止 NPC抱 怨 ： 
qstr_Escape_chance_of_def|战 败 领 主 的 逃 跑 几 率 ： 
qstr_Your_prisoner_heroes|禁 止 俘 虏 的 领 主 逃 跑 ： 
qstr_{s1}_of_{s3}_was_def|{s3}的 {s1}在 战 场 上 被 击 败 了 ， 但 设 法 逃 离 了 。 
qstr_{s54}_is_a_claimant_|{s54}声 称 应 由 他 坐 上 {s56}的 王 座 。 
qstr_nowhere|无 
qstr_{s57}_and_{s58}|{s57}和 {s58}
qstr_unknown|未 知 
qstr_{reg3?She:He}|{reg3?她 :他 }
qstr_The_town_of_{s50}|{s50}镇 
qstr_The_village_of_{s50}|{s52}附 近 的 {s50}村 
qstr_{s51}_belongs_to_{s1|{s51}归 {s2}的 {s1}所 有 。 ^ 
qstr_{s7}_and_{s8}|{s7}和 {s8}
qstr_{s2}It_has_no_villag|{s2}它 没 有 下 属 的 村 庄 。 ^ 
qstr_{s2}{reg0?Its_villag|{s2}它 {reg0?的 下 属 的 村 庄 是 :的 下 属 的 村 庄 是 }{s8}。 ^ 
qstr_{s2}Its_prosperity_i|{s2}它 的 繁 荣 度 为 ： {s50}
qstr_noone|无 
qstr_{s9}_and_{s10}|{s9}和 {s10}
qstr_{s5}_has_been_defeat|{s5}被 击 败 了 ！ 
qstr_{s7}_opened_the_gate|{s7}打 开 大 门 
qstr_{s7}_closed_the_gate|{s7}关 闭 大 门 
qstr_+{reg1}_to_party_mor|部 队 士 气 增 加 {reg1}
qstr_Requires_{reg1}_inte|需 要 {reg1}点 智 慧 才 能 读 
qstr_Reading_Progress:_{r|阅 读 进 度 ： {reg1}% 
qstr_tactics|战 术 技 能 
qstr_persuasion|说 服 力 技 能 
qstr_leadership|统 御 技 能 
qstr_intelligence|智 力 
qstr_trade|交 易 技 能 
qstr_weapon_mastery|武 器 掌 握 技 能 
qstr_engineer|工 程 学 
qstr_+1_to_{s1}_after_rea|读 完 以 后 加 1点 {s1}
qstr_wound_treament|疗 伤 
qstr_trainer|教 练 
qstr_surgery|手 术 
qstr_+1_to_{s1}_while_in_|置 于 物 品 栏 时 加 1点 {s1}技 能 
qstr_Can_penetrate_shield|能 穿 透 盾 牌 
qstr_Civilian_clothing|便 装 
qstr_Couchable|能 使 出 骑 枪 冲 刺 
qstr_Can_knock_down|能 击 倒 对 方 
qstr_Missile_speed:_{reg1|弹 速 ： {reg1}
qstr_Difficulty:_{reg1}|难 度 ： {reg1}
qstr_Capability:_{reg1}|能 力 分 : {reg1}
qstr_Move_here|移 动 到 这 里 
qstr_Relation:_{reg1}|友 好 度 ： {reg1}
qstr_View_notes|查 看 记 录 
qstr_Accompany|同 伴 
qstr_killed|死 亡 
qstr_wounded|受 伤 
qstr_{s0}^TOTAL:_{reg3}__|{s0}^ 总 计 ： {reg3}({s2}) 
qstr_^None|^ 无 
qstr_nothing|无 
qstr_{reg0}_village{reg1?|{reg0}村 庄 {reg1?:} 
qstr_{reg0}_castle{reg1?s|{reg0}城 堡 {reg1?:} 
qstr_{reg0}_castle{reg1?s:|{reg0}城 堡 {reg1?:} 以 及 {s0}
qstr_{reg0}_town{reg1?s:}|{reg0}城 镇 {reg1?:} 
qstr_{reg0}_town{reg1?s:}_|{reg0}城 镇 {reg1?:} 以 及 {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0}城 镇 {reg1?:}， {s0}
qstr_Your_opponents_are_r|你 的 对 手 已 经 准 备 好 了 。 
qstr_Try_to_destroy_as_ma|你 需 要 在 两 分 半 钟 的 时 间 内 尽 可 能 多 的 摧 毁 目 标 。 
qstr_Stay_behind_the_line|站 在 线 后 射 击 目 标 。 尽 量 不 要 浪 费 任 何 一 发 弹 药 。 
qstr_Battle_Advantage_=_{|战 场 优 势 为 {reg0}。 
qstr_{s9}_wants_you_to_re|{s9}希 望 你 能 够 在 接 到 进 一 步 的 指 令 以 前 跟 着 他 的 部 队 前 进 。 
qstr__Being_Raided_|（ 被 掠 夺 中 ） 
qstr__Looted_|（ 已 被 洗 劫 ） 
qstr__Under_Siege_|（ 陷 入 包 围 ） 
qstr_The_village_of_{s1}_|{s1}村 遭 受 了 {s2}的 掠 夺 。 
qstr_{s3}_is_no_longer_un|{s3}不 再 陷 入 包 围 了 。 
qstr_Small_bands_of_enemi|{s1}附 近 发 现 小 股 敌 军 。 
qstr_Enemy_patrols_spotte|{s1}附 近 发 现 敌 军 巡 逻 。 
qstr_Medium_sized_group_o|{s1}附 近 发 现 敌 军 中 等 规 模 部 队 。 
qstr_Significant_group_of|{s1}附 近 发 现 敌 军 大 部 队 。 
qstr_Army_of_enemies_spot|{s1}附 近 发 现 敌 军 集 团 。 
qstr_Large_army_of_enemie|{s1}附 近 发 现 大 规 模 敌 军 集 团 。 
qstr_Great_host_of_enemie|{s1}附 近 发 现 超 大 规 模 敌 军 集 团 。 
qstr_{s1}_has_been_besieg|{s1}受 到 {s3}的 {s2}包 围 。 
qstr__{s1}__{s11}:_{s14}|（ {s1}） {s11}： {s14}
qstr_{s14}__{s21}_|{s14}（ {s21}） 
qstr_{s1}_is_the_new_mars|{s1}是 {s2}的 新 元 帅 。 
qstr_You_gained_{reg12}_r|你 获 得 了 {reg12}点 声 望 。 
qstr_You_lose_{reg12}_ren|你 失 去 了 {reg12}点 声 望 。 
qstr_Your_relation_with_{|你 与 {s1}的 关 系 提 升 了 。 
qstr_Your_relation_with_{s|你 与 {s1}的 关 系 恶 化 了 。 
qstr_You_gain_honour.|你 获 得 荣 誉 。 
qstr_You_lose_honour.|你 失 去 荣 誉 。 
qstr_{s1}_has_declared_wa|{s1}已 经 向 {s2}宣 战 。 
qstr_{s1}_and_{s2}_have_m|{s1}与 {s2}已 经 达 成 了 停 战 协 议 。 
qstr_{s2}_{reg3?was:is_cu|{s2}{reg3?曾 :正 }在 {s3}。 
qstr_{s2}_{reg3?was:is}_t|{s2}{reg3?已 经 :正 在 }赶 去 {s3}， 而 {reg4?她 :他 }{reg3?之 前 :也 许 }在 {s4}{reg3?:附 近 }。 
qstr_{s2}_{reg3?was:is}_i|{s2}{reg3?:正 }在 野 外 某 地 ， 而 {reg4?她 :他 }{reg3?之 前 :也 许 }在 {s3}{reg3?:附 近 }。 
qstr_{s2}_{reg3?was:is}_b|{s2}{reg3?曾 :正 }被 囚 禁 在 {s3}。 
qstr_{s2}_{reg3?was:has_b|{s2}{reg3?已 :已 经 }被 {reg4?她 的 :他 的 }敌 人 俘 虏 。 
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}的 位 置 不 明 确 :我 不 知 道 {s2}在 哪 里 }。 
qstr_{s6}_has_joined_your|{s6}加 入 了 你 的 部 队 。 
qstr_You_have_changed_you|你 换 上 了 你 物 品 栏 里 的 一 件 便 装 。 
qstr_You_have_no_casual_c|你 没 有 便 装 ， 城 堡 守 卫 临 时 提 供 给 你 一 件 公 用 的 便 装 。 
qstr_You_now_owe_{reg2}_d|你 欠 {s1}{reg2}第 纳 尔 。 
qstr_Renown_value_for_thi|这 场 战 斗 的 声 望 值 为 {reg8}点 。 
qstr_You_have_run_into_a_|你 陷 入 了 圈 套 之 中 ！ 
qstr_You_are_attacked_by_|你 被 一 群 强 盗 打 劫 了 ！ 
qstr_Holding|坚 守 中 
qstr_Following|随 行 中 
qstr_Charging|冲 锋 中 
qstr_Advancing|前 进 中 
qstr_Falling_Back|后 退 中 
qstr_Standing_Closer|聚 拢 中 
qstr_Spreading_Out|散 开 中 
qstr_Standing|站 立 中 
qstr_N/A|无 效 
qstr_Free|自 由 行 动 中 
qstr_Any_Weapon|任 意 武 器 
qstr_Blunt_Weapons|钝 击 武 器 
qstr_{s1}_Rebels|{s1}叛 军 
qstr_Given_by:_{s62}|给 予 人 ： {s62}
qstr_Given_on:_{s60}|开 始 于 ： {s60}
qstr_You_have_{reg0}_days|你 还 有 {reg0}天 来 完 成 这 个 任 务 。 
qstr_This_quest_has_been_|任 务 完 成 。 找 {s59}谈 话 来 结 束 这 个 任 务 。 
qstr_This_quest_has_been_s|任 务 成 功 完 成 。 找 {s59}谈 话 来 索 取 你 的 报 酬 。 
qstr_This_quest_has_faile|任 务 失 败 。 找 {s59}谈 话 来 解 释 情 况 。 
qstr_At_the_time_quest_wa|接 受 任 务 时 ： ^{s1}
qstr_{s5}_has_a_strength_|{s5}的 军 队 共 有 {reg1}人 。 
qstr_The_last_time_you_sa|上 一 次 你 见 到 {reg1?她 :他 }， {s1}
qstr_The_last_time_you_he|上 一 次 你 听 说 到 {reg1?她 :他 }， {s1}
qstr_Current_garrison_con|当 前 的 守 城 部 队 有 {reg5}人 。 ^ 共 有 {reg6}天 的 存 粮 。 
qstr_Very_Poor|非 常 贫 穷 
qstr_Poor|贫 穷 
qstr_Average|一 般 
qstr_Rich|富 有 
qstr_Very_Rich|非 常 富 有 
qstr_Manor|庄 园 
qstr_A_manor_lets_you_res|庄 园 可 让 你 在 村 庄 休 整 ， 休 整 期 间 仅 需 支 付 部 队 半 额 薪 饷 。 
qstr_Mill|磨 坊 
qstr_A_mill_increases_vil|磨 坊 可 使 村 庄 繁 荣 度 提 升 5%。 
qstr_Watch_Tower|嘹 望 塔 
qstr_A_watch_tower_lets_t|嘹 望 塔 让 村 民 能 更 早 发 出 警 报 ， 敌 人 洗 劫 村 庄 的 时 间 增 加 50%。 
qstr_School|学 校 
qstr_A_shool_increases_th|学 校 使 村 民 对 你 的 忠 诚 度 每 月 提 升 1点 。 
qstr_Messenger_Post|信 站 
qstr_A_messenger_post_let|信 站 让 居 民 能 在 敌 人 临 近 时 向 你 报 信 ， 不 论 你 离 领 地 有 多 远 。 
qstr_Prison_Tower|监 狱 塔 
qstr_A_prison_tower_reduc|监 狱 塔 降 低 关 押 在 此 的 俘 虏 成 功 逃 脱 的 几 率 。 
qstr_Prosperity_of_{s2}_h|{s2}的 繁 荣 度 从 {s3}变 到 {s4}。 
qstr_{s4}_looks_upset.|{s4}看 起 来 很 失 落 。 
qstr_your_party|你 的 部 队 
qstr_{reg0?One_of_your_pr|{reg0?你 的 一 个 俘 虏 :俘 虏 }{s3}的 {s1}从 监 狱 逃 跑 了 ！ 
qstr_You_brought_{reg3}_h|你 带 了 {reg3}头 牛 去 {s1}。 
qstr_I_heard_that_there_w|我 听 说 在 {s62}将 会 举 办 一 场 竞 技 大 会 。 
qstr_I_heard_that_one_can|我 听 说 {s62}在 {s63}卖 得 很 便 宜 。 
qstr_I_heard_that_they_pa|我 听 说 {s62}在 {s63}卖 的 很 贵 。 
qstr_two_days_ago|两 天 之 前 
qstr_Best_threat_of_{s4}_|最 有 威 胁 的 {s4}价 值 等 级 为 {reg1}
qstr_No_center_found_to_d|没 发 现 防 守 地 点 
qstr_You_gain_right_to_ru|你 获 得 统 治 权 。 
qstr_You_lose_right_to_ru|你 失 去 统 治 权 。 
qstr_Added_money_for_your|为 了 你 的 老 马 增 加 的 钱 
qstr_xp:_{reg0}|经 验 ： {reg0}
qstr_cost:_{reg0}|花 费 ： {reg0}
qstr_{s1}_Lv.{reg4}|{s1} Lv.{reg4}{***}
qstr_You_have_sold_{reg1}|你 出 售 了 {reg1}件 {reg3?物 品 :物 品 }， 获 得 了 {reg2}{reg4?第 纳 尔 :第 纳 尔 }。 
qstr_You_have_sold_nothin|你 什 么 都 没 卖 。 
qstr_You_have_bought_{reg|你 购 买 了 {reg1}件 {reg3?物 品 :物 品 }， 失 去 了 {reg2}{reg4?第 纳 尔 :第 纳 尔 }。 
qstr_You_have_bought_noth|你 什 么 都 没 买 。 
qstr_decending|由 高 到 底 
qstr_ascending|由 底 到 高 
qstr_Prisoner_troops_were|已 经 按 照 等 级 {s0}整 理 俘 虏 。 
qstr_Garrison_troops_were|已 经 按 照 等 级 {s0}整 理 驻 军 。 
qstr_Prisoner_troops_were_|已 经 按 照 阵 营 顺 序 整 理 俘 虏 。 
qstr_Garrison_troops_were_|已 经 按 照 阵 营 顺 序 整 理 驻 军 。 
qstr_Prisoner_troops_were_s|已 经 按 照 分 组 顺 序 整 理 俘 虏 。 
qstr_Garrison_troops_were_s|已 经 按 照 分 组 顺 序 整 理 驻 军 。 
qstr_You_got_keys_of_dung|你 得 到 了 地 牢 钥 匙 。 
qstr_You_must_stay_behind|你 必 须 站 在 线 后 ！ 此 次 攻 击 无 效 。 
qstr_Tutorial|训 练 
qstr_You_came_into_the_wo|你 作 为 一 个 没 落 贵 族 家 庭 中 的 {reg3?女 儿 :儿 子 }降 生 在 这 个 世 界 上 ， 家 中 只 剩 下 了 一 幢 房 子 还 矗 立 着 ， 记 录 着 已 经 散 去 的 往 日 荣 光 。 不 过 ， 即 使 生 活 困 苦 ， 家 里 依 然 给 予 了 你 很 好 的 教 育 ， 并 从 孩 童 时 期 就 就 训 练 你 适 应 贵 族 生 活 和 宫 廷 中 的 种 种 艰 辛 。 
qstr_You_were_born_the_{r|你 是 一 位 旅 行 商 人 的 {reg3?女 儿 :儿 子 }， 终 日 为 谋 利 四 处 奔 波 。 即 使 你 的 父 母 比 常 人 富 有 ， 并 且 尽 他 们 所 能 给 予 你 最 好 的 教 育 ， 但 你 在 路 上 很 少 有 机 会 结 交 朋 友 ， 日 子 大 多 在 盼 着 把 东 西 卖 给 别 人 的 期 待 中 度 过 。 
qstr_As_a_child_your_fami|在 孩 童 时 期 ， 一 家 人 靠 父 亲 给 地 方 领 主 当 卫 兵 的 薪 水 艰 难 度 日 。 生 活 辛 苦 ， 你 因 贫 穷 几 乎 没 受 过 什 么 教 育 ， 所 以 你 主 要 学 习 的 是 如 何 在 不 论 手 中 是 否 握 有 武 器 的 各 种 情 况 下 保 护 自 己 。 
qstr_{reg3?daughter:son}|{reg3?女 儿 :儿 子 }
qstr_You_were_the_{reg3?d|你 一 个 依 靠 森 林 为 生 的 家 庭 里 的 {reg3?女 儿 :儿 子 }， 为 糊 口 不 得 不 做 各 种 活 计 ： 打 猎 、 砍 柴 、 制 箭 ， 甚 至 在 生 计 艰 难 时 偷 猎 。 对 于 你 家 里 来 说 冬 天 并 不 能 称 之 为 一 个 好 的 季 节 ， 寒 冷 带 走 的 不 仅 是 牲 畜 ， 还 有 人 的 性 命 。 但 你 总 能 活 到 下 一 个 黎 明 ， 即 使 你 的 兄 弟 姐 妹 可 能 已 经 看 不 到 了 。 
qstr_You_were_a_child_of_|你 是 一 个 草 原 之 子 ， 生 活 在 一 个 游 牧 部 落 之 中 ， 家 人 在 干 旱 的 草 原 上 扎 营 而 居 。 像 部 落 中 其 他 人 一 样 ， 你 的 家 人 对 马 的 敬 畏 几 乎 超 过 一 切 ， 他 们 几 乎 在 你 学 走 路 前 就 教 会 了 你 骑 马 。 
qstr_As_the_{reg3?daughte|作 为 盗 贼 的 {reg3?女 儿 :儿 子 }， 你 几 乎 没 接 受 过 “ 正 规 ” 教 育 。 你 从 小 就 在 大 街 上 乞 讨 ， 直 到 学 会 如 何 割 钱 包 ， 再 后 来 学 会 撬 锁 。 这 些 漫 长 的 岁 月 让 你 熟 稔 城 市 的 生 存 法 则 ， 对 暗 巷 里 的 秘 密 洞 察 入 微 。 
qstr_As_a_{reg3?girl:boy}|少 年 时 ， 你 被 送 到 一 位 贵 族 的 宫 廷 中 生 活 。 在 那 里 ， 第 一 课 便 是 谦 卑 ， 因 为 你 要 服 侍 家 中 的 贵 族 夫 妇 。 但 从 他 们 的 棋 局 、 闲 聊 ， 甚 至 伟 大 业 绩 和 宫 廷 爱 情 的 诗 歌 中 ， 你 快 速 领 悟 了 成 人 世 界 的 冲 突 与 竞 争 。 你 也 从 其 他 孩 子 的 粗 野 游 戏 中 学 到 东 西 — — 他 们 仿 效 长 辈 挥 剑 ， 用 棍 棒 互 相 厮 打 。 
qstr_As_a_{reg3?girl:boy}_|少 年 时 ， 你 跟 随 当 地 匠 人 当 学 徒 习 艺 。 在 师 傅 手 下 苦 学 多 年 后 ， 他 升 你 为 熟 练 工 ， 并 按 全 薪 雇 用 你 ， 只 要 你 愿 意 留 下 。 
qstr_As_a_{reg3?girl:boy}_g|少 年 时 ， 你 给 富 商 当 学 徒 ， 数 年 间 经 营 店 铺 、 驾 驶 商 队 ， 逐 渐 掌 握 了 商 贸 之 道 。 你 很 快 精 通 低 买 高 卖 的 技 巧 ， 总 能 让 顾 客 以 为 自 己 占 了 便 宜 。 
qstr_As_a_{reg3?girl:boy}_gr|你 被 遗 弃 在 大 街 上 为 了 生 存 而 无 所 不 为 。 从 最 初 的 乞 讨 、偷 盗 ， 到 仅 仅 只 是 为 了 获 得 一 块 面 包 而 为 那 些 歹 徒 工 作 。 你 每 天 都 在 这 种 残 酷 的 世 界 中 挣 扎 ， 并 总 在 执 法 者 和 仇 敌 到 来 之 前 藏 好 自 己 。 
qstr_As_a_{reg3?girl:boy}_gro|少 年 时 ， 你 骑 着 自 己 的 马 驰 骋 大 草 原 ， 领 略 草 原 与 沙 漠 的 生 存 法 则 。 在 无 痕 的 大 地 上 虽 然 不 时 挨 饿 ， 你 还 是 成 了 一 名 技 艺 高 超 的 猎 人 和 探 险 者 ， 你 的 身 体 也 开 始 布 满 了 结 实 的 肌 肉 —— 这 ， 就 是 作 为 游 牧 之 {reg3?女 :民 }的 生 活 方 式 。 
qstr_{reg3?daughter:man}|{reg3?女 子 :男 人 }
